Category: All categories

Week,Core Power Protein: (United States),protein shake core power: (United States)
2019-12-29,17,10
2020-01-05,17,8
2020-01-12,21,8
2020-01-19,20,10
2020-01-26,19,6
2020-02-02,19,6
2020-02-09,22,12
2020-02-16,16,5
2020-02-23,18,6
2020-03-01,17,7
2020-03-08,14,8
2020-03-15,9,0
2020-03-22,0,0
2020-03-29,9,0
2020-04-05,0,0
2020-04-12,9,5
2020-04-19,9,0
2020-04-26,12,6
2020-05-03,10,0
2020-05-10,12,6
2020-05-17,11,0
2020-05-24,13,0
2020-05-31,12,0
2020-06-07,9,0
2020-06-14,19,0
2020-06-21,20,9
2020-06-28,20,9
2020-07-05,19,11
2020-07-12,22,10
2020-07-19,16,0
2020-07-26,12,5
2020-08-02,14,0
2020-08-09,13,6
2020-08-16,16,10
2020-08-23,18,7
2020-08-30,16,6
2020-09-06,18,8
2020-09-13,18,7
2020-09-20,11,6
2020-09-27,18,0
2020-10-04,12,9
2020-10-11,11,0
2020-10-18,18,9
2020-10-25,13,9
2020-11-01,15,9
2020-11-08,14,8
2020-11-15,20,10
2020-11-22,10,7
2020-11-29,14,8
2020-12-06,15,9
2020-12-13,12,7
2020-12-20,0,0
2020-12-27,18,9
2021-01-03,19,0
2021-01-10,20,17
2021-01-17,24,15
2021-01-24,22,12
2021-01-31,25,12
2021-02-07,21,13
2021-02-14,15,9
2021-02-21,21,16
2021-02-28,28,20
2021-03-07,25,17
2021-03-14,16,13
2021-03-21,23,11
2021-03-28,22,17
2021-04-04,22,10
2021-04-11,24,19
2021-04-18,24,12
2021-04-25,22,14
2021-05-02,18,13
2021-05-09,18,12
2021-05-16,22,10
2021-05-23,30,18
2021-05-30,24,11
2021-06-06,25,17
2021-06-13,28,21
2021-06-20,30,16
2021-06-27,26,18
2021-07-04,18,10
2021-07-11,29,21
2021-07-18,37,25
2021-07-25,33,25
2021-08-01,26,18
2021-08-08,25,16
2021-08-15,30,21
2021-08-22,23,13
2021-08-29,26,19
2021-09-05,22,17
2021-09-12,29,22
2021-09-19,27,18
2021-09-26,21,15
2021-10-03,26,18
2021-10-10,25,19
2021-10-17,28,14
2021-10-24,24,16
2021-10-31,30,18
2021-11-07,26,18
2021-11-14,15,15
2021-11-21,18,9
2021-11-28,25,16
2021-12-05,23,20
2021-12-12,22,15
2021-12-19,21,17
2021-12-26,23,16
2022-01-02,23,16
2022-01-09,31,19
2022-01-16,30,19
2022-01-23,31,20
2022-01-30,36,26
2022-02-06,46,32
2022-02-13,28,23
2022-02-20,41,29
2022-02-27,44,29
2022-03-06,42,26
2022-03-13,44,29
2022-03-20,44,36
2022-03-27,45,30
2022-04-03,52,37
2022-04-10,42,28
2022-04-17,51,38
2022-04-24,44,35
2022-05-01,43,29
2022-05-08,42,27
2022-05-15,35,20
2022-05-22,46,34
2022-05-29,35,27
2022-06-05,44,30
2022-06-12,49,31
2022-06-19,44,32
2022-06-26,40,32
2022-07-03,36,25
2022-07-10,42,28
2022-07-17,55,34
2022-07-24,50,34
2022-07-31,51,31
2022-08-07,47,33
2022-08-14,54,37
2022-08-21,54,38
2022-08-28,43,32
2022-09-04,43,28
2022-09-11,47,31
2022-09-18,46,31
2022-09-25,39,25
2022-10-02,33,27
2022-10-09,44,30
2022-10-16,37,26
2022-10-23,40,26
2022-10-30,36,25
2022-11-06,33,23
2022-11-13,40,28
2022-11-20,27,17
2022-11-27,32,21
2022-12-04,37,30
2022-12-11,37,26
2022-12-18,36,23
2022-12-25,31,26
2023-01-01,53,34
2023-01-08,63,43
2023-01-15,59,40
2023-01-22,64,49
2023-01-29,72,48
2023-02-05,73,49
2023-02-12,64,46
2023-02-19,70,46
2023-02-26,64,43
2023-03-05,75,50
2023-03-12,72,45
2023-03-19,81,61
2023-03-26,84,58
2023-04-02,77,49
2023-04-09,84,57
2023-04-16,86,64
2023-04-23,69,55
2023-04-30,92,58
2023-05-07,80,52
2023-05-14,76,55
2023-05-21,88,57
2023-05-28,81,57
2023-06-04,90,61
2023-06-11,89,60
2023-06-18,82,56
2023-06-25,77,62
2023-07-02,75,54
2023-07-09,94,60
2023-07-16,76,52
2023-07-23,82,54
2023-07-30,84,54
2023-08-06,79,56
2023-08-13,81,54
2023-08-20,96,63
2023-08-27,91,62
2023-09-03,86,54
2023-09-10,89,56
2023-09-17,81,58
2023-09-24,85,55
2023-10-01,85,64
2023-10-08,72,49
2023-10-15,68,46
2023-10-22,60,41
2023-10-29,67,43
2023-11-05,78,59
2023-11-12,70,46
2023-11-19,65,38
2023-11-26,76,54
2023-12-03,69,45
2023-12-10,63,44
2023-12-17,69,50
2023-12-24,54,38
2023-12-31,86,59
2024-01-07,92,58
2024-01-14,91,61
2024-01-21,91,51
2024-01-28,93,56
2024-02-04,98,64
2024-02-11,82,54
2024-02-18,97,67
2024-02-25,86,51
2024-03-03,83,47
2024-03-10,88,59
2024-03-17,83,50
2024-03-24,90,65
2024-03-31,90,55
2024-04-07,89,56
2024-04-14,100,71
2024-04-21,91,37
2024-04-28,85,42
2024-05-05,92,45
2024-05-12,91,49
2024-05-19,96,60
